step,seconds,tflops_per_device,tokens_per_sec_device,loss,lm_loss,perplexity
0,1.935,1.986,529.299,237.418,237.418,inf
1,1.215,3.161,842.562,237.418,237.418,inf
2,108.236,0.035,9.461,234.531,234.531,inf
3,108.408,0.035,9.446,222.632,222.632,inf
4,107.815,0.036,9.498,188.362,188.362,inf
5,108.845,0.035,9.408,160.944,160.944,inf
6,107.102,0.036,9.561,145.406,145.406,inf
7,107.803,0.036,9.499,135.675,135.675,inf
8,107.366,0.036,9.537,128.48,128.48,inf
9,107.805,0.036,9.499,122.669,122.669,inf
10,107.109,0.036,9.56,117.702,117.702,inf
11,109.887,0.035,9.319,113.356,113.356,inf
12,107.999,0.036,9.482,109.41,109.41,inf
13,107.965,0.036,9.485,105.815,105.815,inf
14,108.321,0.035,9.453,102.401,102.401,inf
15,110.274,0.035,9.286,99.299,99.299,inf
16,108.083,0.036,9.474,96.24,96.24,inf
17,107.469,0.036,9.528,93.353,93.353,inf
18,108.073,0.036,9.475,90.558,90.558,inf
19,110.132,0.035,9.298,87.816,87.816,1.374729046429508e+38
20,108.759,0.035,9.415,85.187,85.187,9.91400441857223e+36
21,107.668,0.036,9.511,82.652,82.652,7.857441925409414e+35
22,108.114,0.036,9.471,80.243,80.243,7.061629398169119e+34
23,108.399,0.035,9.447,77.838,77.838,6.374709097358062e+33
24,108.34,0.035,9.452,75.48,75.48,6.033125153401824e+32
25,110.258,0.035,9.287,73.224,73.224,6.320318344822e+31
26,108.677,0.035,9.422,70.972,70.972,6.648010623734815e+30
27,108.418,0.035,9.445,68.912,68.912,8.475565848142458e+29
28,107.755,0.036,9.503,67.077,67.077,1.3531979880068128e+29
29,108.381,0.035,9.448,65.547,65.547,2.9289080289520045e+28
30,107.912,0.036,9.489,64.348,64.348,8.832975770603373e+27
31,108.294,0.035,9.456,63.202,63.202,2.8063630909581855e+27
32,109.605,0.035,9.343,62.087,62.087,9.209361365795912e+26
33,108.075,0.036,9.475,61.03,61.03,3.199847120806598e+26
34,108.351,0.035,9.451,60.035,60.035,1.1829514204530406e+26
35,108.004,0.036,9.481,59.104,59.104,4.660651978233846e+25
36,108.865,0.035,9.406,58.219,58.219,1.924290900669537e+25
37,108.627,0.035,9.427,57.48,57.48,9.192924532839614e+24
38,107.848,0.036,9.495,56.868,56.868,4.98321900851221e+24
39,109.318,0.035,9.367,56.511,56.511,3.487963115615838e+24
40,107.941,0.036,9.487,56.195,56.195,2.541153135382447e+24
41,108.493,0.035,9.438,55.892,55.892,1.8784521251521743e+24
42,108.234,0.035,9.461,55.605,55.605,1.408748445410831e+24
43,108.05,0.036,9.477,55.344,55.344,1.0850558611020755e+24
44,108.447,0.035,9.442,55.098,55.098,8.485212602378361e+23
45,108.482,0.035,9.439,54.953,54.953,7.339419034973746e+23
46,107.829,0.036,9.496,54.839,54.839,6.548115683742479e+23
47,109.472,0.035,9.354,54.749,54.749,5.984206643744522e+23
48,108.893,0.035,9.404,54.657,54.657,5.4599595446569216e+23
49,107.925,0.036,9.488,54.572,54.572,5.0157140290619604e+23
