step,seconds,tflops_per_device,tokens_per_sec_device,loss,lm_loss,perplexity
0,1.256,6.117,1630.42,235.668,235.668,inf
1,2.912,2.639,703.278,235.668,235.668,inf
2,2.484,3.093,824.439,233.586,233.586,inf
3,2.505,3.067,817.467,225.122,225.122,inf
4,2.522,3.047,811.982,199.605,199.605,inf
5,2.54,3.025,806.249,175.816,175.816,inf
6,2.542,3.023,805.658,159.356,159.356,inf
7,2.559,3.003,800.274,148.663,148.663,inf
8,2.563,2.998,799.138,140.4,140.4,inf
9,2.561,3.001,799.779,133.732,133.732,inf
10,2.577,2.981,794.583,128.27,128.27,inf
11,2.603,2.952,786.744,123.605,123.605,inf
12,2.608,2.947,785.308,119.508,119.508,inf
13,2.607,2.948,785.647,115.901,115.901,inf
14,2.619,2.934,782.025,112.646,112.646,inf
15,2.641,2.91,775.601,109.638,109.638,inf
16,2.658,2.891,770.544,106.865,106.865,inf
17,2.674,2.874,765.979,104.279,104.279,inf
18,2.678,2.87,764.798,101.888,101.888,inf
19,2.666,2.883,768.271,99.649,99.649,inf
20,2.686,2.861,762.382,97.538,97.538,inf
21,2.692,2.854,760.762,95.56,95.56,inf
22,2.708,2.837,756.168,93.689,93.689,inf
23,2.726,2.818,751.163,91.895,91.895,inf
24,2.734,2.811,749.188,90.185,90.185,inf
25,2.768,2.776,739.91,88.54,88.54,2.8354761976362947e+38
26,2.79,2.755,734.13,87.04,87.04,6.325113549139661e+37
27,2.785,2.759,735.246,85.626,85.626,1.5378324517934133e+37
28,2.8,2.744,731.345,84.382,84.382,4.432700970293769e+36
29,2.81,2.734,728.797,83.357,83.357,1.589973899959711e+36
30,2.815,2.729,727.46,82.623,82.623,7.634019299400813e+35
31,2.849,2.697,718.772,81.922,81.922,3.787194903723851e+35
32,2.856,2.69,717.055,81.253,81.253,1.9402366942891976e+35
33,2.871,2.676,713.226,80.609,80.609,1.01848565483151e+35
34,2.877,2.671,711.894,80.026,80.026,5.6888296565320365e+34
35,2.896,2.653,707.193,79.481,79.481,3.296916327357917e+34
36,2.879,2.669,711.334,78.953,78.953,1.9446595817027557e+34
37,2.909,2.642,704.038,78.51,78.51,1.249021954723059e+34
38,2.929,2.624,699.316,78.166,78.166,8.855607165878066e+33
39,2.932,2.621,698.595,77.958,77.958,7.190280707429801e+33
40,2.96,2.596,691.846,77.772,77.772,5.969326443423455e+33
41,2.958,2.598,692.466,77.596,77.596,5.004711804381914e+33
42,2.962,2.594,691.335,77.43,77.43,4.238767663060077e+33
43,3.019,2.546,678.475,77.286,77.286,3.670195420356734e+33
44,3.045,2.524,672.67,77.141,77.141,3.177428435959031e+33
45,3.055,2.515,670.335,77.042,77.042,2.877738007728512e+33
46,3.083,2.492,664.263,76.982,76.982,2.708959119682402e+33
47,3.086,2.49,663.645,76.936,76.936,2.5884591194558976e+33
48,3.111,2.47,658.406,76.88,76.88,2.4468740602527697e+33
49,3.153,2.437,649.593,76.83,76.83,2.3265903900481303e+33
