step,seconds,tflops_per_device,tokens_per_sec_device,loss,lm_loss,perplexity
0,3.912,3.335,523.567,160.72,160.72,inf
1,5.349,2.439,382.887,160.72,160.72,inf
2,5.084,2.566,402.822,157.615,157.615,inf
3,5.106,2.555,401.113,147.395,147.395,inf
4,5.199,2.509,393.956,137.216,137.216,inf
5,5.282,2.47,387.74,129.451,129.451,inf
6,5.364,2.432,381.776,122.27,122.27,inf
7,5.465,2.387,374.772,116.793,116.793,inf
8,5.565,2.344,368.012,112.31,112.31,inf
9,5.62,2.321,364.43,108.311,108.311,inf
10,5.565,2.344,368.014,104.708,104.708,inf
11,5.43,2.402,377.186,101.347,101.347,inf
12,5.333,2.446,383.991,98.17,98.17,inf
13,5.276,2.473,388.202,95.168,95.168,inf
14,5.241,2.489,390.753,92.286,92.286,inf
15,5.221,2.499,392.277,89.509,89.509,inf
16,5.207,2.505,393.299,86.884,86.884,5.412137389168568e+37
17,5.198,2.51,394.001,84.309,84.309,4.118796138198403e+36
18,5.211,2.503,393.007,81.826,81.826,3.439662153418281e+35
19,5.269,2.476,388.692,79.403,79.403,3.049707624328878e+34
20,5.28,2.471,387.914,77.047,77.047,2.8904123473357255e+33
21,5.338,2.444,383.667,74.74,74.74,2.8772643409209804e+32
22,5.353,2.437,382.592,72.459,72.459,2.940656445624883e+31
23,5.381,2.424,380.573,70.214,70.214,3.1168821668130175e+30
24,5.391,2.42,379.925,68.041,68.041,3.547890137852891e+29
25,5.407,2.413,378.8,65.95,65.95,4.38321367785632e+28
26,5.385,2.422,380.307,64.007,64.007,6.278205608457224e+27
27,5.372,2.428,381.243,62.211,62.211,1.0423318719324086e+27
28,5.338,2.444,383.662,60.635,60.635,2.154948458223309e+26
29,5.312,2.456,385.578,59.33,59.33,5.84246800158915e+25
30,5.326,2.449,384.546,58.308,58.308,2.1040646826692275e+25
31,5.323,2.451,384.75,57.323,57.323,7.852514356692849e+24
32,5.31,2.456,385.658,56.386,56.386,3.0772008184152626e+24
33,5.302,2.46,386.255,55.507,55.507,1.276997331665567e+24
34,5.296,2.463,386.69,54.685,54.685,5.616797581824084e+23
35,5.296,2.463,386.718,53.936,53.936,2.6553945780356675e+23
36,5.317,2.453,385.165,53.255,53.255,1.34373920096252e+23
37,5.344,2.441,383.218,52.683,52.683,7.582973702821943e+22
38,5.34,2.443,383.526,52.275,52.275,5.0429354065056535e+22
39,5.347,2.439,382.994,51.986,51.986,3.776768187108799e+22
40,5.339,2.443,383.628,51.712,51.712,2.8721287788789993e+22
41,5.332,2.447,384.121,51.457,51.457,2.226829380371311e+22
42,5.353,2.437,382.557,51.234,51.234,1.78165227267543e+22
43,5.371,2.429,381.296,51.022,51.022,1.4409337939466033e+22
44,5.364,2.432,381.796,50.851,50.851,1.2148560199923622e+22
45,5.37,2.429,381.408,50.714,50.714,1.0584083998768963e+22
46,5.369,2.43,381.466,50.631,50.631,9.743599718310944e+21
47,5.364,2.432,381.781,50.562,50.562,9.090733146529367e+21
48,5.382,2.424,380.529,50.476,50.476,8.346549899853365e+21
49,5.39,2.42,379.946,50.414,50.414,7.841097402874692e+21
