step,seconds,tflops_per_device,tokens_per_sec_device,loss,lm_loss,perplexity
0,0.708,10.858,2893.824,235.891,235.891,inf
1,0.259,29.671,7908.008,235.891,235.891,inf
2,0.012,619.047,164988.319,233.719,233.719,inf
3,0.08,95.981,25580.814,224.736,224.736,inf
4,0.084,91.178,24300.818,197.84,197.84,inf
5,0.085,90.437,24103.192,173.478,173.478,inf
6,0.085,90.339,24077.122,156.861,156.861,inf
7,0.086,88.902,23694.105,145.378,145.378,inf
8,0.085,90.332,24075.141,137.45,137.45,inf
9,0.085,90.539,24130.455,131.185,131.185,inf
10,0.086,89.719,23911.825,125.885,125.885,inf
11,0.085,90.572,24139.272,121.505,121.505,inf
12,0.086,89.779,23927.749,117.779,117.779,inf
13,0.085,90.444,24105.178,114.502,114.502,inf
14,0.086,88.997,23719.352,111.485,111.485,inf
15,0.085,89.912,23963.306,108.711,108.711,inf
16,0.085,90.913,24230.091,106.155,106.155,inf
17,0.085,90.188,24036.994,103.79,103.79,inf
18,0.085,90.072,24006.002,101.545,101.545,inf
19,0.085,90.397,24092.7,99.48,99.48,inf
20,0.086,89.791,23931.105,97.559,97.559,inf
21,0.087,88.776,23660.436,95.788,95.788,inf
22,0.085,90.816,24204.318,94.12,94.12,inf
23,0.085,90.151,24027.124,92.532,92.532,inf
24,0.086,89.711,23909.871,91.02,91.02,inf
25,0.086,89.679,23901.221,89.598,89.598,inf
26,0.085,90.451,24106.88,88.247,88.247,2.1137966262034826e+38
27,0.085,90.513,24123.634,87.02,87.02,6.196148861795322e+37
28,0.085,90.054,24001.219,85.939,85.939,2.102218260563166e+37
29,0.086,89.669,23898.432,85.054,85.054,8.680960679730231e+36
30,0.087,88.588,23610.519,84.381,84.381,4.427395535619164e+36
31,0.084,91.468,24378.05,83.766,83.766,2.3929163081939486e+36
32,0.085,90.885,24222.64,83.149,83.149,1.2916676669564785e+36
33,0.086,89.704,23907.917,82.576,82.576,7.283860135507895e+35
34,0.086,89.794,23931.944,82.03,82.03,4.218851324705442e+35
35,0.087,88.652,23627.407,81.53,81.53,2.5592524681957398e+35
36,0.084,91.053,24267.416,81.064,81.064,1.6054405643542174e+35
37,0.085,89.948,23972.843,80.667,80.667,1.0793109968625705e+35
38,0.086,89.731,23915.176,80.341,80.341,7.7913381060860435e+34
39,0.085,90.414,24097.236,80.152,80.152,6.451298714472594e+34
40,0.084,91.363,24349.935,79.97,79.97,5.3771272485123235e+34
41,0.086,89.213,23776.906,79.801,79.801,4.542600671941059e+34
42,0.086,88.988,23717.154,79.667,79.667,3.969376250570081e+34
43,0.085,90.499,24119.656,79.522,79.522,3.435205866382463e+34
44,0.085,90.61,24149.235,79.406,79.406,3.058949589486167e+34
45,0.085,90.467,24111.137,79.296,79.296,2.7404464340666356e+34
46,0.085,90.539,24130.455,79.25,79.25,2.617055503414889e+34
47,0.086,89.842,23944.535,79.213,79.213,2.5213865068268833e+34
48,0.086,89.71,23909.592,79.153,79.153,2.375763906185626e+34
49,0.085,89.96,23976.211,79.12,79.12,2.297334214996701e+34
