step,seconds,tflops_per_device,tokens_per_sec_device,loss,lm_loss,perplexity
0,0.717,18.184,2854.956,157.712,157.712,inf
1,0.26,50.199,7881.44,157.712,157.712,inf
2,0.012,1077.868,169228.227,154.911,154.911,inf
3,0.143,91.444,14356.918,146.2,146.2,inf
4,0.149,87.744,13776.032,137.696,137.696,inf
5,0.15,86.777,13624.268,129.803,129.803,inf
6,0.148,87.944,13807.424,122.625,122.625,inf
7,0.148,88.241,13854.126,117.203,117.203,inf
8,0.15,87.16,13684.351,112.804,112.804,inf
9,0.148,88.266,13858.063,108.947,108.947,inf
10,0.15,87.081,13671.927,105.246,105.246,inf
11,0.148,88.424,13882.769,101.719,101.719,inf
12,0.149,87.379,13718.726,98.459,98.459,inf
13,0.149,87.693,13767.975,95.366,95.366,inf
14,0.148,87.88,13797.378,92.403,92.403,inf
15,0.149,87.541,13744.228,89.608,89.608,inf
16,0.149,87.375,13718.083,86.974,86.974,5.91958907976521e+37
17,0.149,87.675,13765.291,84.451,84.451,4.751007085273127e+36
18,0.148,88.198,13847.381,81.867,81.867,3.5857200632949525e+35
19,0.15,87.16,13684.351,79.245,79.245,2.6038872876290024e+34
20,0.149,87.674,13765.013,76.803,76.803,2.2659105926274886e+33
21,0.149,87.817,13787.532,74.563,74.563,2.4118965673559023e+32
22,0.15,86.991,13657.795,72.524,72.524,3.139491860169196e+31
23,0.148,88.247,13854.969,70.427,70.427,3.8540660910323594e+30
24,0.149,87.801,13784.933,68.408,68.408,5.12117222129458e+29
25,0.15,87.107,13676.036,66.652,66.652,8.843530377751749e+28
26,0.148,87.889,13798.772,65.067,65.067,1.8126973749688516e+28
27,0.149,87.531,13742.661,63.647,63.647,4.3817619633699047e+27
28,0.148,88.144,13838.866,62.41,62.41,1.2710100338951535e+27
29,0.149,87.556,13746.535,61.397,61.397,4.616166732562892e+26
30,0.149,87.613,13755.491,60.428,60.428,1.751395494483191e+26
31,0.149,87.386,13719.829,59.557,59.557,7.332236737522572e+25
32,0.149,87.693,13767.975,58.747,58.747,3.2622801722409282e+25
33,0.149,87.793,13783.82,58.03,58.03,1.5919030544306307e+25
34,0.149,87.575,13749.488,57.36,57.36,8.148805960004772e+24
35,0.149,87.583,13750.781,56.79,56.79,4.6107881808056753e+24
36,0.148,87.943,13807.331,56.275,56.275,2.752880540404843e+24
37,0.15,86.723,13615.754,55.88,55.88,1.8548776185715377e+24
38,0.148,88.321,13866.696,55.58,55.58,1.3738741551635427e+24
39,0.149,87.444,13729.026,55.346,55.346,1.0875739857833249e+24
40,0.149,87.689,13767.419,55.111,55.111,8.595854155719838e+23
41,0.149,87.695,13768.345,54.922,54.922,7.119870354579285e+23
42,0.148,88.029,13820.749,54.729,54.729,5.869290273636745e+23
43,0.149,87.66,13762.793,54.562,54.562,4.964894330002801e+23
44,0.15,87.247,13697.989,54.412,54.412,4.274326774660617e+23
45,0.148,87.963,13810.404,54.315,54.315,3.87817429876642e+23
46,0.149,87.508,13739.065,54.233,54.233,3.57431138787615e+23
47,0.149,87.727,13773.438,54.174,54.174,3.368048326382432e+23
48,0.149,87.638,13759.465,54.096,54.096,3.114740302893232e+23
49,0.149,87.524,13741.554,54.025,54.025,2.9036504634628834e+23
