step,seconds,tflops_per_device,tokens_per_sec_device,loss,perplexity
0,2.441,1.374,419.53,12.045,170295.734
1,3.152,1.064,324.923,12.045,170295.734
2,2.484,1.35,412.229,12.013,164870.344
3,2.693,1.246,380.269,11.876,143734.734
4,2.718,1.234,376.703,11.441,93092.43
5,2.719,1.234,376.64,10.942,56489.746
6,2.755,1.218,371.667,10.45,34543.91
7,2.749,1.22,372.491,9.979,21569.475
8,2.767,1.212,370.083,9.511,13512.94
9,2.742,1.224,373.494,9.04,8434.605
10,2.756,1.217,371.599,8.574,5294.869
11,2.775,1.209,369.071,8.121,3366.031
12,2.785,1.204,367.654,7.682,2167.992
13,2.786,1.204,367.513,7.252,1411.155
14,2.79,1.202,367.031,6.838,932.34
15,2.809,1.194,364.51,6.438,625.067
16,2.821,1.189,363.005,6.054,425.833
17,2.846,1.179,359.852,5.682,293.636
18,2.869,1.169,356.971,5.326,205.62
19,2.861,1.173,357.934,4.985,146.165
20,2.878,1.166,355.813,4.658,105.46
21,2.898,1.157,353.322,4.353,77.742
22,2.906,1.154,352.416,4.071,58.637
23,2.908,1.154,352.148,3.801,44.751
24,2.93,1.145,349.543,3.544,34.595
25,2.95,1.137,347.083,3.299,27.095
26,2.956,1.135,346.358,3.073,21.599
27,2.966,1.131,345.232,2.863,17.52
28,2.971,1.129,344.665,2.676,14.527
29,2.985,1.124,343.04,2.52,12.429
30,3.01,1.114,340.151,2.422,11.271
31,3.005,1.116,340.804,2.34,10.385
32,3.016,1.112,339.487,2.263,9.614
33,3.036,1.105,337.313,2.191,8.943
34,3.05,1.1,335.732,2.125,8.373
35,3.052,1.099,335.561,2.064,7.874
36,3.061,1.096,334.572,2.007,7.443
37,3.06,1.096,334.675,1.956,7.071
38,3.059,1.097,334.793,1.916,6.792
39,3.037,1.105,337.188,1.895,6.655
40,3.013,1.113,339.878,1.876,6.53
41,3.015,1.113,339.685,1.86,6.423
42,3.014,1.113,339.763,1.845,6.325
43,2.999,1.119,341.465,1.83,6.233
44,2.994,1.121,342.067,1.817,6.151
45,2.991,1.121,342.342,1.806,6.087
46,2.996,1.12,341.801,1.8,6.05
47,2.972,1.129,344.576,1.795,6.022
48,2.977,1.127,344.023,1.791,5.996
49,2.976,1.127,344.085,1.786,5.968
